code,line_item,period_end,value,asOf
2215.7,Fund Administration fee payable,2026-07-31,136210510,2026-08-03
2215.8,Supervisory service fee payable,2026-07-31,217936817,2026-08-03
2215.9,Transaction fee,2026-07-31,581307798,2026-08-03
2215.9.1,Brokerage fee payable,2026-07-31,581307798,2026-08-03
2215.9.2,Clearing Settlement fee payable,2026-07-31,0,2026-08-03
2215.10,Accrued expense for Custodian fee,2026-07-31,305124375,2026-08-03
2215.10.1,Custodian service - Safe Custody Fee,2026-07-31,198124375,2026-08-03
2215.10.2,Custodian service - Transaction fee,2026-07-31,96000000,2026-08-03
2215.10.3,"Custodian service -  Depository fee, Position and Margin management fee paid to VSDC",2026-07-31,11000000,2026-08-03
2215.11,Audit fee payable,2026-07-31,16419686,2026-08-03
2215.12,General meeting expense payable,2026-07-31,93842793,2026-08-03
2215.13,Annual report fee payable,2026-07-31,0,2026-08-03
2215.14,Transfer Agency fee payable,2026-07-31,13200000,2026-08-03
2215.15,Service fee payable to HOSE for calculating iNAV,2026-07-31,0,2026-08-03
2215.16,Authorising index service fee payable to HOSE,2026-07-31,0,2026-08-03
2215.17,Other payables,2026-07-31,203539130,2026-08-03
2215.17.1,Price feed fee payable,2026-07-31,15000000,2026-08-03
2215.17.2,"Accrued expense for Fund's Board of Representatives travelling, meeting",2026-07-31,0,2026-08-03
2215.17.3,Accrued expense for Annual Management Fee pay to SSC,2026-07-31,4356164,2026-08-03
2215.17.4,Other payables,2026-07-31,184182966,2026-08-03
2215.18,Short-term loans - Repo contracts,2026-07-31,0,2026-08-03
2215.18.1,Principal of repo contracts,2026-07-31,0,2026-08-03
2215.18.2,Accrued Interest Expense,2026-07-31,0,2026-08-03
2215.18.3,Principal of Short-term loans,2026-07-31,0,2026-08-03
2216,TOTAL LIABILITIES,2026-07-31,248340233630,2026-08-03
2217,Net Asset Value ( = I.10 - II.4),2026-07-31,5723344907684,2026-08-03
2218,Total Outstanding Fund Certificates,2026-07-31,61563354.71,2026-08-03
2219,Net Asset Value per Fund Certificate,2026-07-31,92966.74,2026-08-03
2220,Receivables from rental of investment property (not applicable),2026-07-31,0,2026-08-03
2221,Real Estate Proceeds Receivables (not applicale),2026-07-31,0,2026-08-03
2222,Real Estate Trading Payables (not applicable),2026-07-31,0,2026-08-03
